,HIVincidence
794,0.0
795,0.0
796,0.0
797,21.5
798,0.0
799,9.0
800,0.0
801,0.0
802,0.0
803,0.0
804,0.0
805,0.0
806,0.0
807,0.0
808,0.0
809,0.0
810,0.0
811,0.0
812,13.8
813,0.0
814,0.0
815,7.1
816,0.0
817,0.0
818,0.0
819,9.4
820,0.0
821,18.8
822,0.0
823,13.8
824,0.0
825,2.9
826,0.0
827,0.0
828,0.0
829,0.0
830,0.0
831,6.1
832,0.0
833,0.0
834,0.0
835,0.0
836,0.0
837,0.0
838,0.0
839,0.0
840,0.0
841,0.0
842,47.1
843,0.0
844,0.0
845,10.3
846,0.0
847,0.0
848,0.0
849,14.8
850,0.0
851,0.0
852,0.0
853,12.0
854,4.3
855,0.0
856,0.0
857,0.0
858,0.0
859,0.0
860,0.0
861,0.0
862,0.0
863,0.0
864,0.0
865,7.4
866,0.0
867,0.0
868,0.0
869,0.0
870,0.0
871,5.9
872,0.0
873,0.0
874,0.0
875,0.0
876,0.0
877,24.0
878,0.0
879,0.0
880,0.0
881,0.0
882,0.0
883,0.0
884,0.0
885,26.5
886,0.0
887,0.0
888,0.0
889,0.0
890,0.0
891,0.0
892,0.0
893,0.0
894,0.0
895,0.0
896,0.0
897,0.0
898,0.0
899,0.0
900,0.0
901,13.8
902,0.0
903,0.0
904,0.0
905,8.8
906,0.0
907,0.0
908,0.0
909,0.0
910,0.0
911,0.0
912,0.0
913,15.2
914,11.2
915,22.2
916,9.2
917,0.0
918,37.0
919,0.0
920,10.5
921,12.4
922,10.2
923,0.0
924,0.0
925,0.0
926,0.0
927,0.0
928,13.7
929,7.5
930,0.0
931,0.0
932,0.0
933,0.0
934,5.0
935,0.0
936,0.0
937,0.0
938,0.0
939,0.0
940,21.7
941,0.0
942,0.0
943,0.0
944,0.0
945,0.0
946,0.0
947,0.0
948,0.0
949,0.0
950,0.0
951,7.400000000000001
952,0.0
953,0.0
954,0.0
955,0.0
956,0.0
957,0.0
958,0.0
959,0.0
960,0.0
961,0.0
962,0.0
963,0.0
964,0.0
965,0.0
966,19.2
967,16.6
968,0.0
969,0.0
970,0.0
971,13.0
